Geneid	RpS12_C_RNA	RpS12_B_RNA	RpS12_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0041621	10	50	0	47	19	7
FBGN0037911	608	650	562	486	584	580
FBGN0037685	0	27	18	7	8	4
FBGN0039015	34	15	74	32	35	13
FBGN0037254	30	50	70	96	49	35
FBGN0266137	25	35	65	36	67	23
FBGN0053337	16	15	77	51	36	27
FBGN0038460	0	0	62	4	7	10
FBGN0261053	21350	24999	22711	17567	18617	18704
FBGN0037375	44	23	78	114	52	76
FBGN0014930	642	828	638	351	602	610
FBGN0037626	16	26	20	12	12	5
FBGN0051051	539	504	512	236	282	332
FBGN0286204	40	210	139	95	36	18
FBGN0045035	10282	10243	10879	9309	10804	10358
FBGN0037754	52	20	38	6	30	7
FBGN0051017	16	24	14	43	11	7
FBGN0039795	3890	7362	5975	3740	4850	3129
FBGN0038476	25298	24969	24286	21170	24324	23960
FBGN0037461	24	3	11	4	10	9
FBGN0051407	116	200	128	203	122	98
FBGN0039003	2514	2801	2287	2549	2570	2885
FBGN0039731	1844	1336	1551	1227	1569	1251
FBGN0038003	3	22	47	36	1	7
FBGN0087013	37547	38609	38702	27212	31748	32207
FBGN0259733	81	403	278	48	94	47
FBGN0266176	0	0	0	0	0	0
FBGN0038302	1019	940	918	322	492	380
FBGN0263596	1	0	0	4	5	0
FBGN0037424	1	6	13	16	18	45
FBGN0051076	60	134	202	78	62	28
FBGN0002735	533	671	506	393	306	344
FBGN0038462	4554	4375	3947	3293	4144	3719
FBGN0039584	5	19	23	28	13	17
FBGN0028487	623	762	1039	652	507	765
FBGN0044511	836	617	805	671	767	608
FBGN0039522	0	3	10	16	29	18
FBGN0051542	0	0	1	8	13	1
FBGN0085328	7	7	8	15	3	8
FBGN0038447	0	32	8	8	8	20
FBGN0037822	6042	6348	5795	3554	4106	4050
FBGN0037504	3542	3656	3414	4034	4843	4291
FBGN0037963	26528	29457	27412	19940	23439	20719
FBGN0039368	13	26	23	10	23	10
FBGN0042102	32	101	431	19	1	19
FBGN0037677	31	32	34	9	36	9
FBGN0038499	4744	4741	4523	3900	4009	4126
FBGN0037572	0	16	9	0	6	14
FBGN0266916	9544	9485	9326	8815	9235	8900
FBGN0038887	27	24	34	64	30	24
FBGN0040227	28962	31716	29002	30393	32212	35762
FBGN0039312	36	66	26	10	15	10
FBGN0039599	17	22	31	27	3	7
FBGN0037688	1807	2149	1909	1751	2069	1596
FBGN0044823	418	553	453	351	524	374
FBGN0013813	208	120	253	292	214	197
FBGN0039081	15	15	45	28	22	25
FBGN0263400	22	46	14	0	29	11
FBGN0038331	2162	2283	2248	1736	2176	2149
FBGN0038515	2281	2765	2516	2061	2250	2093
FBGN0039108	30	77	54	43	24	40
FBGN0025574	3825	4036	4050	3384	4029	3953
FBGN0039298	18	0	6	0	2	4
FBGN0038914	0	0	0	16	5	1
FBGN0038760	5938	6637	6010	5728	6504	6645
FBGN0014861	9305	9361	9573	9864	10518	10864
FBGN0037892	973	1316	1174	971	1058	1239
FBGN0010803	2638	2479	2662	2687	3361	3073
FBGN0051122	8334	8475	7541	7399	7430	8082
FBGN0286199	60	23	49	56	13	51
FBGN0038173	42	3	26	30	25	25
FBGN0038354	25	38	32	72	17	26
FBGN0004779	2	0	16	45	4	2
FBGN0004118	21	46	57	40	49	30
FBGN0037995	18	20	12	22	9	12
FBGN0027512	7179	7633	8225	6467	8014	7679
FBGN0051106	32	48	52	6	46	26
FBGN0286506	1377	1221	1448	1148	1482	1677
FBGN0039439	6	40	16	13	5	24
FBGN0037964	5	60	24	45	30	17
FBGN0039625	1159	1283	1143	1165	1376	1328
FBGN0039723	1	4	2	12	2	4
FBGN0262955	23868	25744	23664	18651	20792	20826
FBGN0039613	2	89	161	94	64	104
FBGN0051103	32	80	49	185	126	111
FBGN0039807	831	780	816	635	609	635
FBGN0051493	9	0	2	18	24	2
FBGN0038868	884	1059	1074	1077	1561	1062
FBGN0038787	6937	6860	7658	6294	6997	6987
FBGN0039154	32	65	125	41	43	37
FBGN0051158	16642	20259	17350	14932	16644	17211
FBGN0039600	19456	20483	19477	16604	18513	18021
FBGN0038219	11	30	9	2	8	1
FBGN0262473	6399	8046	6886	4015	5024	4860
FBGN0083984	175	58	192	137	183	125
FBGN0038878	18	19	99	30	11	5
FBGN0039523	79	56	69	38	33	40
