Geneid	RpS12_C_RNA	RpS12_B_RNA	RpS12_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0032422	23	49	104	65	82	73
FBGN0259683	183	160	166	45	45	44
FBGN0083938	13	3	15	13	60	1
FBGN0032647	32	57	17	54	31	20
FBGN0051901	40	142	821	32	63	133
FBGN0051815	1183	1223	1068	844	999	747
FBGN0031799	7428	6741	6321	7122	7231	7600
FBGN0032360	10	2	13	12	1	7
FBGN0031377	7170	7645	7209	7491	7852	7628
FBGN0032511	868	936	831	738	869	915
FBGN0053827	20	10	28	20	36	10
FBGN0011239	3	12	13	11	2	9
FBGN0001992	17	21	24	21	18	7
FBGN0032642	542	604	689	441	541	640
FBGN0042133	34	17	28	38	78	28
FBGN0264544	0	0	20	8	0	0
FBGN0032029	988	915	1406	1140	1033	1136
FBGN0041247	9	7	28	27	23	49
FBGN0032047	366	196	330	253	191	265
FBGN0031333	0	5	12	14	24	16
FBGN0266363	0	3	2	15	1	6
FBGN0261560	331	255	1293	238	317	239
FBGN0026438	49	38	75	79	19	38
FBGN0032075	35	168	2082	65	25	10
FBGN0051676	17	25	19	12	8	55
FBGN0040011	8139	9821	9853	6858	8817	7286
FBGN0040099	38	16	89	25	4	37
FBGN0053894	7	7	0	0	0	0
FBGN0016122	77	153	354	109	159	229
FBGN0002543	40104	42817	38774	29671	33928	34529
FBGN0031808	30	0	17	38	35	35
FBGN0032051	4806	4521	4748	4394	5032	5001
FBGN0028853	24	16	0	22	21	0
FBGN0032631	30	15	70	105	57	56
FBGN0031361	523	524	537	403	435	530
FBGN0031455	650	894	699	776	689	846
FBGN0032965	10	14	1	18	9	14
FBGN0004583	53436	55616	51560	47770	50884	51220
FBGN0031820	22888	23606	23739	23726	26455	25620
FBGN0032729	559	593	1103	577	605	618
FBGN0261628	8	9	16	12	17	7
FBGN0031702	6	66	168	70	89	25
FBGN0031548	16	43	4	54	20	21
FBGN0031765	58	15	59	36	37	48
FBGN0053309	12	42	2	60	22	4
FBGN0051974	5	28	103	36	28	9
FBGN0026398	54	16	5	33	3	13
FBGN0051956	47	36	51	14	22	15
FBGN0262356	8	1	8	4	1	10
FBGN0260954	1002	5234	43938	764	1392	425
FBGN0283442	36	2	33	70	46	16
FBGN0032524	879	963	996	795	785	806
FBGN0032596	3902	3801	3828	3953	5188	4298
FBGN0021944	2403	2609	2626	2468	2814	2676
FBGN0051742	30	18	49	128	69	53
FBGN0259896	171	152	304	265	289	209
FBGN0031873	1090	1218	982	761	1107	1035
FBGN0043362	4313	4555	4465	3816	4122	4476
FBGN0053829	0	0	0	0	0	0
FBGN0032209	2	21	54	15	12	39
FBGN0031245	1215	1541	1695	2018	2277	2474
FBGN0026319	1193	1083	1118	814	1146	1104
FBGN0032387	38	30	48	42	32	16
FBGN0031824	518	677	911	333	494	532
FBGN0015521	28626	30216	28324	16628	18841	19394
FBGN0031535	1128	1467	1348	1110	1285	1325
FBGN0032228	24	77	61	8	35	32
FBGN0023416	773	683	914	781	732	859
FBGN0000251	43	40	37	29	21	2
FBGN0032125	1	0	10	0	17	6
FBGN0053878	0	0	0	0	0	0
FBGN0032188	10	8	28	46	10	12
FBGN0010309	1591	1685	1669	1627	1877	1944
FBGN0032972	0	12	0	3	11	2
FBGN0032264	45	48	224	60	36	36
FBGN0020305	3389	3473	3847	2971	3556	3522
FBGN0284220	69288	69635	70387	63646	70678	70055
FBGN0032684	152	186	533	66	73	28
FBGN0027070	18	42	75	27	25	22
FBGN0031467	28	2	6	27	4	4
FBGN0001987	22539	24146	21197	16771	19370	19704
FBGN0261648	33278	36434	33439	29793	33106	32708
FBGN0032538	1312	1386	2514	2921	2743	2999
FBGN0023496	42	63	62	19	12	8
FBGN0031646	21	68	36	86	26	19
FBGN0032105	5411	5636	5431	5496	5568	6914
FBGN0032811	282	233	228	282	344	253
FBGN0010407	126	138	82	104	45	53
FBGN0287596	7	1	0	7	0	22
FBGN0032484	40	3	36	62	27	20
FBGN0031851	2381	2681	2569	2218	2760	2798
FBGN0028412	0	0	8	3	31	17
FBGN0262875	0	1	18	0	0	0
FBGN0031479	1564	1536	1186	1194	1392	1177
FBGN0032415	11	9	47	23	10	9
FBGN0259959	0	5	2	7	3	6
FBGN0015663	610	518	858	346	526	446
FBGN0032733	24	184	757	40	18	20
FBGN0031214	247	261	265	313	261	309
FBGN0031620	48	10	48	26	29	3
FBGN0028572	82	58	322	103	39	77
FBGN0011638	18133	18529	17481	19285	21052	23524
FBGN0001137	23	46	19	38	59	56
FBGN0031512	18	74	299	2	19	0
FBGN0000442	36	24	126	53	13	37
FBGN0263873	11461	16392	12767	7096	8904	8188
FBGN0032613	32	11	46	60	18	52
FBGN0032535	61	90	66	93	69	82
FBGN0015777	6319	6332	5789	9713	11451	10958
FBGN0032768	14	13	2	8	4	15
FBGN0031518	55	8	172	65	92	64
FBGN0004837	2518	2735	2491	2281	2538	2376
FBGN0031733	16	1	15	32	17	21
FBGN0086265	81	59	27	71	52	78
FBGN0032362	164	116	243	66	61	29
FBGN0028513	26	43	6	52	42	17
FBGN0031815	1435	1773	1461	1212	1639	1610
FBGN0031998	66	113	219	222	230	219
FBGN0028523	204	342	234	99	147	189
FBGN0031391	1340	1445	1031	1060	1531	1459
FBGN0003346	11907	12656	12458	13086	15583	14374
FBGN0027496	3357	4086	3845	2760	3258	3747
FBGN0052986	17	14	25	18	3	3
FBGN0028856	2	1	0	20	1	13
FBGN0260955	2	0	19	10	8	0
FBGN0031410	14	3	32	13	13	9
FBGN0263038	1203	1244	1542	1242	1280	1075
FBGN0042186	14	40	6	3	15	4
FBGN0032793	773	604	759	571	735	758
FBGN0021800	1682	1815	1783	1426	1376	1527
FBGN0032643	16173	19829	18611	16332	18057	19039
FBGN0053812	2	22	7	6	17	4
FBGN0261458	20689	20006	18746	14582	17280	16658
FBGN0032197	4059	4366	4067	3578	4480	3866
FBGN0031219	1	10	61	8	5	0
FBGN0031600	1109	1062	853	680	895	854
FBGN0032754	32	16	22	76	18	4
FBGN0032494	25	4	11	24	0	15
FBGN0031372	10	0	8	36	18	10
FBGN0045501	13	0	37	19	4	8
FBGN0263027	140	130	174	145	138	91
FBGN0053806	2	28	0	8	16	2
FBGN0031504	10	10	9	16	13	20
FBGN0086451	11539	12409	12423	10810	12405	13241
FBGN0051697	41	149	146	87	162	128
FBGN0053856	2	2	0	9	0	0
FBGN0026373	3504	3699	3458	2836	3647	3928
FBGN0027550	7	0	26	25	13	58
FBGN0000114	19	104	329	75	65	66
FBGN0031559	1	6	53	10	3	2
FBGN0032200	3374	3018	3235	3751	4123	3641
FBGN0031909	2335	2396	2682	2085	2348	2289
FBGN0261278	18218	18699	17437	15330	17700	18651
FBGN0032130	595	629	763	575	785	728
FBGN0028945	4	21	19	16	4	10
FBGN0032911	20	35	47	39	52	45
FBGN0039972	378	431	465	258	184	196
FBGN0010473	17625	21399	17788	15932	16436	16908
FBGN0262467	1492	1340	1243	1372	1439	1314
FBGN0026390	12	2	0	21	31	7
FBGN0031585	17	0	35	21	11	24
FBGN0000370	50674	60652	56900	32297	37632	35816
FBGN0031860	0	4	48	13	15	3
FBGN0015609	10282	11793	10693	5751	7608	7163
FBGN0031652	225	369	340	233	298	344
FBGN0040228	594	809	690	471	455	538
FBGN0028530	865	1226	872	820	704	1069
FBGN0032223	6191	6074	5823	5542	6236	5980
FBGN0259952	5	0	16	5	0	1
FBGN0032008	0	47	10	6	4	0
FBGN0032401	270	268	424	318	352	481
FBGN0032120	13116	14389	13862	14396	15487	15659
FBGN0031434	701	1114	1051	1065	1181	1271
FBGN0262018	91	98	98	106	69	63
FBGN0051759	956	1149	810	804	857	734
FBGN0027509	6349	7340	7361	6124	6734	6857
FBGN0020304	8720	10627	9833	7343	7920	8359
FBGN0011708	4987	5207	5386	3837	4152	4310
FBGN0032214	3307	3648	3326	3210	3324	3880
FBGN0024285	15404	15714	15040	12643	13965	14282
FBGN0051677	4	3	0	16	9	2
FBGN0283728	1	2	22	24	14	12
FBGN0000339	1260	1171	1526	1234	1160	1253
FBGN0260454	17	0	6	14	8	33
FBGN0266364	14	4	0	11	5	2
FBGN0028965	3521	3837	3653	3474	3737	3331
FBGN0263235	12	152	1466	30	10	17
FBGN0032132	4584	7470	6077	3954	4531	4353
FBGN0031734	124	240	193	96	100	70
FBGN0031782	2040	2051	2168	1659	1902	2027
FBGN0032536	47	10	26	45	79	18
FBGN0031426	94	31	82	95	102	42
FBGN0010382	6577	7002	6554	5374	5782	6080
FBGN0261938	3157	3139	3173	2687	3169	3160
FBGN0051741	27	27	200	28	22	39
FBGN0051665	53	49	58	26	57	40
FBGN0032116	206	142	231	94	89	69
FBGN0032057	31	39	25	55	26	17
FBGN0031418	3088	3737	3818	2393	2923	2709
FBGN0266459	0	3	9	8	4	1
FBGN0032393	3440	2737	2974	2756	3461	3713
FBGN0032368	34	15	8	25	7	12
FBGN0051636	3	28	106	28	33	6
FBGN0031473	20	0	10	24	29	55
FBGN0284224	7	0	18	2	3	0
FBGN0263971	0	0	0	5	1	23
FBGN0264494	271	330	234	211	277	129
FBGN0031301	22	4	57	23	50	24
FBGN0054010	9	24	0	18	17	14
FBGN0086909	1188	1228	1136	824	871	892
FBGN0032658	37	69	22	165	19	22
FBGN0032414	17972	20054	17966	16948	19437	17954
FBGN0032475	13658	15435	14219	13286	13854	14585
FBGN0016926	1870	2295	1894	1734	1993	2100
FBGN0031802	19	25	35	37	34	13
FBGN0053301	13	0	93	6	5	7
FBGN0031255	242	237	358	121	166	193
FBGN0031668	2287	2112	1871	1685	1962	2300
FBGN0032935	433	523	702	480	468	408
FBGN0045485	28	2	2	36	12	4
FBGN0045498	2	26	24	62	24	7
FBGN0032162	515	382	384	238	400	329
FBGN0053877	0	0	0	0	0	0
FBGN0015380	15090	16428	15237	12347	12611	13302
FBGN0015776	3532	4272	3848	3331	4230	3686
FBGN0002985	1380	1724	1500	1411	1277	1533
FBGN0031574	3371	3963	3955	3625	3369	3536
FBGN0031550	0	22	27	24	36	5
FBGN0264695	1036	2732	1866	1993	1629	999
FBGN0263852	2959	2871	2720	2410	2971	2496
FBGN0032921	765	611	470	456	484	555
FBGN0032400	9544	9933	11967	6213	8771	6706
FBGN0026756	17	12	10	38	11	30
FBGN0053995	2623	2593	2471	1758	2266	2618
FBGN0032450	1320	1548	1465	1876	2151	2257
FBGN0032803	2696	3954	2972	1036	1527	1410
FBGN0051803	2	18	11	32	14	17
FBGN0027491	29	51	67	73	53	6
FBGN0261266	576	627	459	284	265	338
FBGN0266670	3000	3499	3494	3047	3084	3570
FBGN0005779	8	11	12	62	7	7
FBGN0028942	6	6	0	10	6	0
FBGN0031871	1788	2447	1804	1515	1764	1387
FBGN0032815	4004	5207	4527	3099	3448	3132
FBGN0031395	1906	2298	2169	1732	2017	1974
FBGN0053821	20	4	28	20	40	10
FBGN0051674	24	74	38	39	52	26
FBGN0053828	19	16	29	27	9	22
FBGN0032913	32	0	57	35	13	6
FBGN0031514	36	72	441	57	55	19
FBGN0261268	12616	13525	12841	10885	11302	11779
FBGN0032314	2	0	15	28	41	22
FBGN0028539	11969	12012	12541	10720	12817	12815
FBGN0032025	258	363	344	267	226	236
FBGN0031670	4825	5522	5265	4504	4538	4738
FBGN0000636	45160	49281	45566	43939	47012	49204
FBGN0265263	0	8	0	0	11	0
FBGN0020445	1503	3091	2365	1246	1413	1118
FBGN0032813	69	94	250	41	90	39
FBGN0250834	6	4	5	3	15	0
FBGN0031897	2131	2388	2556	2009	2669	2509
FBGN0032369	38	30	30	64	36	55
FBGN0053922	4	0	0	5	5	0
FBGN0016919	48	18	36	94	37	34
FBGN0031560	1	5	276	16	16	6
FBGN0041249	70	44	7	28	10	5
FBGN0032507	2	5	1	19	4	33
FBGN0020414	83	265	765	152	173	73
FBGN0032748	11174	12815	11839	8641	8775	9388
FBGN0031542	104	68	42	90	104	132
FBGN0263846	30	74	97	144	149	87
FBGN0043825	9	17	12	1	4	8
FBGN0031657	2042	1748	1769	1795	2012	2119
FBGN0026778	524	471	487	478	457	698
FBGN0032633	3851	4369	3677	3298	4014	3862
FBGN0031689	83	196	1478	150	90	69
FBGN0028543	97	344	1437	105	100	56
FBGN0031441	22	6	20	8	7	5
FBGN0041004	3171	3326	3450	3150	3316	3138
FBGN0259961	4	0	7	8	10	0
FBGN0260011	5	15	9	15	4	21
FBGN0016977	202024	226300	218959	186850	210089	189282
FBGN0031213	2372	2206	2717	2529	2935	2601
FBGN0032218	273	74	373	124	110	148
FBGN0086444	5230	5120	4673	3990	4085	4432
FBGN0032820	2680	2368	2689	2495	2939	2904
FBGN0031266	15475	16408	15756	12422	14531	15113
FBGN0083141	25	11	17	34	25	11
FBGN0028847	18	35	6	63	3	22
FBGN0085205	48	39	387	20	8	12
FBGN0032763	939	862	869	637	709	780
FBGN0031822	1945	1492	1711	1318	1564	1776
FBGN0002973	12264	13368	12373	8845	9685	9934
FBGN0028844	0	14	0	12	1	2
FBGN0032210	2376	2440	2086	2190	2478	2022
FBGN0032598	0	13	22	26	32	16
FBGN0000318	4755	5934	5557	5169	5785	5196
FBGN0259964	0	4	3	5	2	4
FBGN0000287	22076	21580	21919	19842	21520	22629
FBGN0031904	2598	2705	3109	2921	3404	2982
FBGN0041245	9	3	12	29	5	14
FBGN0011722	879	1919	7656	955	1148	802
FBGN0267964	42	55	37	38	57	50
FBGN0051821	15	39	80	9	17	8
FBGN0025684	1254	1127	1309	1049	1214	1158
FBGN0031726	12	23	9	44	17	7
FBGN0032551	11	8	11	11	19	15
FBGN0264253	1	16	25	9	25	5
FBGN0259818	1159	982	999	1073	1020	1172
FBGN0031491	1251	1254	1114	698	888	876
FBGN0026379	2875	3750	3663	3137	3468	3193
FBGN0051709	0	12	11	4	1	18
FBGN0031549	6593	7133	6465	6208	7020	6985
FBGN0260428	1	15	3	9	3	0
FBGN0001075	126106	137134	135407	99751	110144	110352
FBGN0287720	51501	55962	53230	43543	46534	49281
FBGN0031987	1083	1279	1067	782	731	1039
FBGN0028943	124	113	158	92	139	146
FBGN0250867	3112	3896	3353	3180	3863	3753
FBGN0032377	54	69	93	66	92	72
FBGN0031945	8	32	31	25	11	24
FBGN0003448	17	0	34	31	52	14
FBGN0045842	971	939	962	1903	2116	2190
FBGN0027949	4742	4901	4654	5810	6442	7099
FBGN0051858	231	162	146	104	215	178
FBGN0000299	7599	7377	12670	8163	9182	10463
FBGN0040297	1616	1690	1761	1085	1489	1361
FBGN0010395	33	42	269	14	80	50
FBGN0260750	1235	1557	1126	1374	1577	1621
FBGN0032924	3090	3378	2926	2669	3147	3229
FBGN0043364	2699	3168	3345	2588	2329	2451
FBGN0032163	22	0	13	34	3	46
FBGN0031977	2110	1551	2093	1755	2677	1787
FBGN0051864	1596	1264	1541	1487	1605	1674
FBGN0053875	0	0	0	0	0	0
FBGN0051875	68	94	45	14	24	73
FBGN0032517	4685	5376	5154	3941	4439	4275
FBGN0032455	11774	12683	11353	10056	10729	10744
FBGN0032840	11	4	52	53	22	11
FBGN0266491	0	4	10	15	3	1
FBGN0001114	2341	3669	6699	1401	1578	1068
FBGN0032261	1055	1410	1030	879	1100	974
FBGN0260451	24	8	12	7	0	9
FBGN0031948	40	43	28	60	24	13
FBGN0000422	471	463	269	174	381	141
FBGN0053679	1	17	21	5	9	13
FBGN0032184	2	20	9	21	5	7
FBGN0015583	0	8	19	7	0	6
FBGN0031635	1887	2030	2108	1596	1948	1883
FBGN0032124	33	26	217	53	22	28
FBGN0028855	542	496	439	494	835	556
FBGN0013746	6756	6929	7408	6939	7977	7405
FBGN0001965	13690	16110	14561	12521	12828	13445
FBGN0028531	111	96	128	215	227	113
FBGN0031695	1	32	52	51	21	1
FBGN0031698	39706	43787	41372	34414	37451	36806
FBGN0028916	1742	1632	1556	1673	1738	1769
FBGN0051827	22	2	13	10	16	13
FBGN0032746	1612	1298	1486	1535	1757	1778
FBGN0032476	2027	2263	1984	1522	1542	1613
FBGN0031632	1129	1565	1815	949	1148	989
FBGN0013301	21	0	4	9	7	10
FBGN0032693	741	643	1030	1763	1746	1951
FBGN0261514	74	71	104	71	43	12
FBGN0032772	17	12	4	0	10	2
FBGN0053645	8	8	0	6	1	1
FBGN0032487	1144	1067	1021	1178	1351	1455
FBGN0015271	1584	1402	1470	1614	1799	1899
FBGN0002121	27547	27522	29097	26615	30280	27201
FBGN0262000	95	29	61	71	49	46
FBGN0002031	9397	9282	9791	9714	9439	10676
FBGN0266450	20653	23462	20801	19013	17687	19609
FBGN0032895	0	11	63	61	25	62
FBGN0051909	6	0	3	7	13	2
FBGN0250841	0	32	14	4	8	9
FBGN0028394	1381	1724	1603	1119	1207	1280
FBGN0264556	77	75	36	81	136	127
FBGN0011559	41	58	31	94	6	23
FBGN0032698	1214	1009	1574	1299	1306	1304
FBGN0003983	18	19	15	11	31	8
FBGN0032914	8	11	71	3	9	12
FBGN0000721	12715	14063	14727	8428	9102	9446
FBGN0031627	24	31	31	17	19	42
FBGN0264296	8	9	0	5	7	0
FBGN0031493	10055	11764	10383	8441	9323	9501
FBGN0260749	7513	9017	8588	6349	7266	7173
FBGN0045852	117	135	154	127	76	58
FBGN0032819	1913	1714	1585	1829	2057	2201
FBGN0031449	96	106	132	80	59	70
FBGN0053804	1209	775	1005	1139	1802	1313
FBGN0032286	40	56	19	78	22	70
FBGN0032949	11553	12683	13858	8760	10672	9163
FBGN0032409	2044	2482	2129	1851	2387	2103
FBGN0031399	2613	2946	2702	2921	2757	3057
FBGN0053643	23	26	3	7	8	8
FBGN0032785	44	58	224	54	47	59
FBGN0085198	7	7	13	11	3	2
FBGN0032365	0	1	6	6	4	3
FBGN0028554	4895	6251	6046	6044	6592	6710
FBGN0020616	8282	8541	8511	7231	7903	8196
FBGN0032144	0	4	8	9	12	15
FBGN0031693	86	89	444	132	56	90
FBGN0028517	22	2	13	10	16	13
FBGN0260000	0	16	195	2	4	6
FBGN0028931	609	936	713	527	450	631
FBGN0000559	306673	323610	309759	315227	342760	377081
FBGN0031762	55	98	506	94	67	92
FBGN0053904	2	0	0	1	0	0
FBGN0024227	3555	3232	3190	3661	4059	4223
FBGN0266449	4864	4921	4848	4706	5157	4911
FBGN0263206	0	22	7	29	27	22
FBGN0051680	12	0	0	5	0	5
FBGN0086445	1127	825	954	909	785	1079
FBGN0031232	22	23	27	39	14	15
FBGN0051804	10	0	16	21	0	16
FBGN0051715	1756	2010	1543	1496	2151	1423
FBGN0000228	6550	6570	6491	5041	5374	5878
FBGN0032236	2257	2100	2278	1756	2138	1752
FBGN0031875	2345	2035	2319	2231	2713	2442
FBGN0260648	1122	1360	1234	1156	1343	1475
FBGN0284256	12319	13317	12263	11141	12785	13548
FBGN0261992	0	1	0	3	0	8
FBGN0032405	243	156	216	181	142	135
FBGN0004374	4147	5235	4594	3685	4142	4399
FBGN0032720	746	675	449	650	696	648
FBGN0028936	9	60	152	1	17	14
FBGN0032115	6	6	0	9	1	3
FBGN0031546	38	53	21	20	30	32
FBGN0061209	8	8	0	1	3	0
FBGN0051872	54	45	71	87	32	51
FBGN0053896	7	7	0	1	3	0
FBGN0020622	6630	6640	6201	4894	5654	5957
FBGN0031650	4	9	38	14	24	1
FBGN0051805	40	62	48	31	33	11
FBGN0032652	46	67	280	36	15	6
FBGN0031818	2679	3759	3153	2466	2527	2671
FBGN0032477	513	570	497	338	407	444
FBGN0053859	2	2	0	9	0	0
FBGN0262359	8	6	1	5	12	1
FBGN0262150	9	22	54	14	15	4
FBGN0026755	14	12	76	25	45	29
FBGN0086758	879	1589	1688	2256	1651	1743
FBGN0003087	1346	1598	1551	1917	2056	1799
FBGN0032034	764	794	778	678	878	904
FBGN0266557	307106	340956	340061	264548	288640	266651
FBGN0032883	3332	3777	3840	3099	3342	3125
FBGN0031739	1202	1143	1169	1054	784	907
FBGN0028880	0	0	8	3	6	0
FBGN0031659	2444	3177	2790	2160	2362	2331
FBGN0051681	14	2	2	2	0	31
FBGN0054049	5	0	1	10	13	5
FBGN0053322	25	8	35	38	15	36
FBGN0287630	24	27	23	15	8	37
FBGN0044323	13302	16171	15263	12467	12610	14285
FBGN0031417	6	10	171	19	6	18
FBGN0283467	1623	1771	2264	1822	2104	1923
FBGN0032916	2755	2838	2859	2310	2651	3240
FBGN0031459	4346	5264	4593	4572	4892	5309
FBGN0010100	25588	28499	24907	21671	24300	25803
FBGN0259712	18	22	59	30	31	30
FBGN0031801	14	91	544	18	5	3
FBGN0031887	47	1	16	19	28	13
FBGN0001084	1040	1394	1161	891	1135	889
FBGN0084001	15	14	17	5	15	18
FBGN0001174	0	0	0	19	0	0
FBGN0028868	6	25	22	27	14	5
FBGN0260639	5328	5306	4737	5608	6282	6669
FBGN0032827	60	65	52	58	27	21
FBGN0053902	0	0	0	1	4	0
FBGN0031708	1517	1527	1466	1190	1162	1235
FBGN0053825	19	16	29	35	9	22
FBGN0053306	20	92	365	8	23	24
FBGN0045497	4	19	10	13	20	14
FBGN0015391	19182	19441	20330	19578	21115	20381
FBGN0032847	1049	839	924	1180	1287	1168
FBGN0028872	48	2	45	82	37	54
FBGN0003716	26984	31025	26914	24129	26686	27703
FBGN0040096	5	1	0	21	2	2
FBGN0032783	516	375	411	619	553	619
FBGN0003231	5837	6439	6644	5997	6063	6465
FBGN0051787	1	6	0	10	0	6
FBGN0085380	20	3	10	27	3	8
FBGN0032430	2658	2550	2368	2141	2543	2269
FBGN0086442	4578	4797	4573	4051	4324	4594
FBGN0003941	48765	58595	55062	48322	52079	56557
FBGN0032354	1249	1226	1287	1060	1135	1147
FBGN0262160	14944	13693	15041	14787	15151	17781
FBGN0000490	4601	5374	4738	4508	5048	5336
FBGN0031579	12	33	376	0	2	5
FBGN0053910	8	8	0	0	3	0
FBGN0051678	6102	7318	6857	5519	6400	6058
FBGN0051769	33	10	263	20	16	10
FBGN0014396	122	59	154	82	100	54
FBGN0085201	8	13	0	6	1	0
FBGN0031722	12	3	6	12	10	7
FBGN0284253	9969	10492	10907	7741	9480	9134
FBGN0032967	8	45	70	67	18	22
FBGN0031683	1484	1729	1451	1198	921	1229
FBGN0032058	33	17	73	34	25	10
FBGN0031452	3342	3125	3442	3436	3440	3405
FBGN0031285	3778	5353	5381	3691	3731	4456
FBGN0051869	7432	9809	7798	3487	3944	4122
FBGN0011283	13	2	0	7	5	1
FBGN0051952	2	9	7	7	2	9
FBGN0031456	3657	3492	3923	2751	3136	3177
FBGN0032886	1140	1050	1211	1310	1209	1382
FBGN0032804	19	60	26	3	33	2
FBGN0086357	24276	28306	26239	22168	25310	27224
FBGN0041184	5005	5994	5528	4740	5029	5987
FBGN0031959	1814	1447	1699	1570	2362	1830
FBGN0032727	370	450	519	252	247	262
FBGN0031651	1706	1625	1623	1614	1497	1645
FBGN0259982	625	426	640	538	772	612
FBGN0031437	3237	3081	3435	3485	3378	3633
FBGN0051882	11	16	4	20	0	0
FBGN0042187	0	21	10	6	5	25
FBGN0266163	0	0	2	6	0	6
FBGN0040098	5	4	7	11	6	6
FBGN0028406	1733	1561	1598	1020	1535	1512
FBGN0029123	90	176	244	215	77	111
FBGN0032938	7870	8539	7939	7413	7860	8352
FBGN0031861	10	42	30	19	28	29
FBGN0032968	3	16	7	12	8	2
FBGN0031276	0	0	1	9	1	37
FBGN0015905	2986	3293	2844	2349	2708	2598
FBGN0051721	2300	3080	3168	1726	2133	1998
FBGN0283531	11680	14565	13468	8607	9271	9448
FBGN0031950	3793	4026	4660	3029	3540	3431
FBGN0031888	1109	2172	1568	942	1299	998
FBGN0014859	107	38	65	98	74	120
FBGN0011584	4572	4828	5021	4354	5263	4707
FBGN0031247	945	772	918	656	872	784
FBGN0250826	76	198	64	68	103	43
FBGN0001986	6154	6890	6536	5292	6367	6168
FBGN0259714	109	270	71	67	51	76
FBGN0031832	2799	2944	2906	3022	3937	3345
FBGN0264344	0	0	7	0	7	5
FBGN0010197	72	102	58	60	73	79
FBGN0027074	15	11	15	18	23	17
FBGN0261806	7	0	12	3	5	0
FBGN0263050	1710	1632	1611	1332	1167	1480
FBGN0032085	15	24	14	5	4	1
FBGN0043841	1973	2127	2452	1993	2246	2408
FBGN0031976	285	286	288	83	88	116
FBGN0032744	512	452	659	554	749	575
FBGN0031723	1	0	18	38	7	21
FBGN0031746	29	0	0	17	0	7
FBGN0031688	196	255	386	155	196	221
FBGN0027052	2434	2569	2786	1738	1937	2180
FBGN0267972	1692	1811	2045	1330	1636	1551
FBGN0040985	1348	1574	1535	843	1211	1077
FBGN0015546	4082	4248	4248	5044	5725	6126
FBGN0031878	10422	11210	11457	11683	12290	12250
FBGN0053823	0	0	0	0	0	0
FBGN0032636	11	20	0	20	9	2
FBGN0010314	1812	1607	1764	1695	1721	1880
FBGN0032602	12	17	4	10	19	5
FBGN0032082	7	16	24	65	17	24
FBGN0086673	1306	1110	1310	1130	1165	1391
FBGN0032870	943	941	936	899	1094	1044
FBGN0031356	4485	4365	4710	3329	3815	3820
FBGN0262036	5	0	91	18	19	3
FBGN0031760	821	1101	1118	870	1171	1173
FBGN0028919	1281	1324	1518	1062	1162	1315
FBGN0005278	17131	18116	17732	17422	18246	19381
FBGN0032663	17	63	6	17	8	8
FBGN0042125	4334	5166	4869	3545	3897	3758
FBGN0053843	3	1	0	0	7	6
FBGN0265578	219	205	219	186	188	148
FBGN0010453	951	1073	1173	699	806	551
FBGN0031516	1272	1439	1386	1029	1265	1613
FBGN0040104	0	2	0	18	16	1
FBGN0285971	1437	1863	1535	1528	1624	1648
FBGN0004177	24126	23556	23975	22677	24630	25479
FBGN0053847	0	0	0	0	0	0
FBGN0259962	16	0	3	1	2	0
FBGN0031240	21	23	25	23	17	57
FBGN0031393	144	82	108	104	123	78
FBGN0045827	1	10	16	13	14	18
FBGN0265349	0	0	0	3	1	3
FBGN0028520	3	4	1	19	13	0
FBGN0028514	149	110	207	107	56	15
FBGN0042189	0	27	4	12	15	11
FBGN0262126	25794	29896	27465	20251	21429	22709
FBGN0032433	64	61	196	105	67	58
FBGN0031803	36	37	24	0	44	23
FBGN0031914	483	504	649	419	545	682
FBGN0053880	0	0	0	0	0	0
FBGN0031886	1396	1274	1308	1335	1473	1360
FBGN0051957	411	512	655	440	524	382
FBGN0032248	2460	2687	2780	1937	2329	2393
FBGN0032897	310	294	335	132	82	138
FBGN0051812	211	344	284	168	255	237
FBGN0022893	107393	95520	89609	89902	103039	99841
FBGN0031528	39	94	62	44	22	30
FBGN0051784	17	14	27	34	23	14
FBGN0046302	27	189	1187	44	39	72
FBGN0086266	3	6	5	7	20	5
FBGN0010520	828	837	1031	826	1088	946
FBGN0019982	800	737	1109	832	999	1048
FBGN0031607	2285	2554	2304	2147	2274	3124
FBGN0028509	4285	5685	4809	2942	3226	2972
FBGN0001983	41	80	35	46	62	38
FBGN0031364	1	6	5	30	5	3
FBGN0085211	8	4	1	5	8	18
FBGN0032480	3313	4114	4184	2962	3634	3495
FBGN0262017	0	3	7	0	2	10
FBGN0032810	1	1	22	18	14	13
FBGN0052983	18	23	27	33	4	0
FBGN0003444	7069	8016	6689	6967	8956	8375
FBGN0032505	12	28	17	15	6	0
FBGN0028935	13	24	19	4	8	20
FBGN0053887	0	0	0	0	0	0
FBGN0051619	48	61	119	92	115	44
FBGN0015376	2205	2103	2558	2577	2894	2513
FBGN0031811	9	4	0	1	6	0
FBGN0003278	5165	4576	4574	4281	5557	4962
FBGN0004914	4423	5540	5404	3482	4055	3525
FBGN0051954	22	17	22	23	12	1
FBGN0032090	30	0	71	21	10	25
FBGN0031640	1958	2626	1795	1534	1769	1878
FBGN0261534	222	166	225	275	283	306
FBGN0032499	2128	2649	2487	2027	1918	2059
FBGN0051907	2	30	6	10	14	11
