Geneid	RpS3_Xrp1_C_RNA	RpS3_Xrp1_B_RNA	RpS3_Xrp1_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0039367	25	17	28	27	1	21
FBGN0261860	0	28	10	6	0	2
FBGN0015781	1435	1435	1312	915	1218	1199
FBGN0039158	1216	848	725	614	702	793
FBGN0004107	5429	5290	3874	3553	4663	4769
FBGN0039193	25	9	17	14	17	8
FBGN0039251	44	44	52	32	3	24
FBGN0039854	709	821	487	471	598	660
FBGN0051141	31	0	27	26	20	38
FBGN0038388	1302	1259	1028	947	1250	1237
FBGN0039313	29	83	19	6	19	0
FBGN0042710	35	16	26	25	20	1
FBGN0037342	3058	3154	2191	2044	2108	2159
FBGN0038592	66	51	42	18	31	19
FBGN0039354	138	96	79	36	41	79
FBGN0024963	188	156	116	72	64	91
FBGN0083971	26	28	8	14	4	11
FBGN0038102	17	20	28	14	18	2
FBGN0038535	54917	50472	41516	38907	49773	45077
FBGN0264357	7772	8234	6129	12853	12694	13825
FBGN0027492	18800	18962	15466	19264	22277	20621
FBGN0039194	45	24	27	15	6	7
FBGN0026380	11756	11043	9127	7195	8378	7559
FBGN0038042	32	46	31	17	1	31
FBGN0004595	463	460	410	157	248	166
FBGN0038651	9768	10434	8175	10250	11396	10410
FBGN0038571	1540	1659	1375	1082	1233	1044
FBGN0020385	3655	3537	2881	2686	3828	3488
FBGN0037761	51	2	21	9	23	8
FBGN0037876	1167	1551	893	1023	1344	1124
FBGN0003861	167	164	78	65	78	51
