Geneid	RpS3_Xrp1_C_RNA	RpS3_Xrp1_B_RNA	RpS3_Xrp1_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0041184	5380	4756	4076	4740	5029	5987
FBGN0031959	1701	1587	1524	1570	2362	1830
FBGN0032727	434	668	347	252	247	262
FBGN0031651	2067	2811	2129	1614	1497	1645
FBGN0259982	1050	851	724	538	772	612
FBGN0031437	4146	3713	3200	3485	3378	3633
FBGN0051882	23	10	13	20	0	0
FBGN0042187	19	1	1	6	5	25
FBGN0266163	9	4	20	6	0	6
FBGN0040098	6	1	7	11	6	6
FBGN0028406	1665	1469	1328	1020	1535	1512
FBGN0029123	775	770	559	215	77	111
FBGN0032938	6950	7429	5733	7413	7860	8352
FBGN0031861	23	4	23	19	28	29
FBGN0032968	2	40	22	12	8	2
FBGN0031276	13	16	18	9	1	37
FBGN0015905	3440	3004	2527	2349	2708	2598
FBGN0051721	1504	1294	1062	1726	2133	1998
FBGN0283531	6853	6791	5200	8607	9271	9448
FBGN0031950	3184	3142	2542	3029	3540	3431
FBGN0031888	2078	2137	1649	942	1299	998
FBGN0014859	180	124	147	98	74	120
FBGN0011584	6665	7006	5414	4354	5263	4707
FBGN0031247	938	992	898	656	872	784
FBGN0250826	25	48	21	68	103	43
FBGN0001986	6253	6828	5542	5292	6367	6168
FBGN0259714	127	117	102	67	51	76
FBGN0031832	3732	3920	2787	3022	3937	3345
FBGN0264344	4	1	6	0	7	5
FBGN0010197	149	60	118	60	73	79
FBGN0027074	39	48	52	18	23	17
FBGN0261806	6	13	15	3	5	0
FBGN0263050	2006	1746	1385	1332	1167	1480
FBGN0032085	12	25	15	5	4	1
FBGN0043841	2358	2320	2038	1993	2246	2408
FBGN0031976	247	165	168	83	88	116
FBGN0032744	1006	1307	893	554	749	575
FBGN0031723	27	0	20	38	7	21
FBGN0031746	19	9	21	17	0	7
FBGN0031688	190	261	254	155	196	221
FBGN0027052	2365	2842	1892	1738	1937	2180
FBGN0267972	2258	2236	1981	1330	1636	1551
FBGN0040985	1169	1681	1041	843	1211	1077
FBGN0015546	4772	5142	3625	5044	5725	6126
FBGN0031878	13157	12562	9911	11683	12290	12250
FBGN0053823	0	3	2	0	0	0
FBGN0032636	13	48	13	20	9	2
FBGN0010314	2036	1890	1608	1695	1721	1880
FBGN0032602	15	37	33	10	19	5
FBGN0032082	58	55	53	65	17	24
FBGN0086673	2112	1892	1446	1130	1165	1391
FBGN0032870	1264	1377	1075	899	1094	1044
FBGN0031356	4178	4175	2995	3329	3815	3820
FBGN0262036	60	29	28	18	19	3
FBGN0031760	1204	1222	1036	870	1171	1173
FBGN0028919	1954	1771	1494	1062	1162	1315
FBGN0005278	17873	18921	14847	17422	18246	19381
FBGN0032663	4	32	38	17	8	8
FBGN0042125	4976	4640	3623	3545	3897	3758
FBGN0053843	14	12	3	0	7	6
FBGN0265578	230	227	147	186	188	148
FBGN0010453	1007	813	654	699	806	551
FBGN0031516	812	1310	912	1029	1265	1613
FBGN0040104	24	24	9	18	16	1
FBGN0285971	1598	1747	1273	1528	1624	1648
FBGN0004177	27974	27530	22141	22677	24630	25479
FBGN0053847	0	0	0	0	0	0
FBGN0259962	15	0	9	1	2	0
FBGN0031240	57	31	89	23	17	57
FBGN0031393	100	115	87	104	123	78
FBGN0045827	24	5	4	13	14	18
FBGN0265349	0	2	1	3	1	3
FBGN0028520	14	17	11	19	13	0
FBGN0028514	456	227	214	107	56	15
FBGN0042189	11	4	27	12	15	11
FBGN0262126	23721	22697	17452	20251	21429	22709
FBGN0032433	199	82	109	105	67	58
FBGN0031803	43	34	39	0	44	23
FBGN0031914	478	568	437	419	545	682
FBGN0053880	0	0	0	0	0	0
FBGN0031886	2078	2165	1635	1335	1473	1360
FBGN0051957	647	724	632	440	524	382
FBGN0032248	2795	2711	2481	1937	2329	2393
FBGN0032897	441	410	438	132	82	138
FBGN0051812	309	297	263	168	255	237
FBGN0022893	139146	132466	114270	89902	103039	99841
FBGN0031528	68	67	43	44	22	30
FBGN0051784	15	39	67	34	23	14
FBGN0046302	120	161	149	44	39	72
FBGN0086266	34	24	11	7	20	5
FBGN0010520	1109	1088	982	826	1088	946
FBGN0019982	864	910	641	832	999	1048
FBGN0031607	3106	2808	2253	2147	2274	3124
FBGN0028509	3449	3253	2527	2942	3226	2972
FBGN0001983	55	99	28	46	62	38
FBGN0031364	38	0	16	30	5	3
FBGN0085211	31	2	10	5	8	18
FBGN0032480	3082	3141	2454	2962	3634	3495
FBGN0262017	11	24	11	0	2	10
FBGN0032810	45	51	16	18	14	13
FBGN0052983	32	20	28	33	4	0
FBGN0003444	7258	8126	5547	6967	8956	8375
FBGN0032505	22	6	6	15	6	0
FBGN0028935	58	79	47	4	8	20
FBGN0053887	0	0	0	0	0	0
FBGN0051619	115	138	128	92	115	44
FBGN0015376	2420	2695	1991	2577	2894	2513
FBGN0031811	40	7	17	1	6	0
FBGN0003278	6536	6537	5290	4281	5557	4962
FBGN0004914	3427	3287	2597	3482	4055	3525
FBGN0051954	36	46	24	23	12	1
FBGN0032090	44	26	35	21	10	25
FBGN0031640	2168	2195	1764	1534	1769	1878
FBGN0261534	399	424	330	275	283	306
FBGN0032499	2046	2268	1680	2027	1918	2059
FBGN0051907	37	24	39	10	14	11
FBGN0031763	44	12	14	17	41	23
FBGN0032191	2241	2481	1899	1725	2035	2182
FBGN0011232	3214	3273	2591	2394	2467	2561
FBGN0014454	51	48	13	61	21	14
FBGN0032922	599	422	450	414	466	541
FBGN0051826	51	14	26	16	15	3
FBGN0051755	321	157	135	482	581	583
FBGN0032251	835	1003	579	462	519	507
FBGN0031589	1476	1341	1119	1288	1724	1584
FBGN0022213	22577	23319	17645	18358	21186	19921
FBGN0040262	138	63	34	38	9	16
FBGN0015000	2146	1884	1719	1411	1893	1669
FBGN0259192	108	73	54	84	61	49
FBGN0053901	33	6	26	20	14	7
FBGN0262475	586	680	487	545	499	455
FBGN0053836	0	0	0	0	0	0
FBGN0013300	34	29	8	2	15	6
FBGN0284225	78	74	43	194	110	92
FBGN0032869	126	139	170	48	88	40
FBGN0031893	4553	4533	3867	2604	3482	3142
FBGN0031227	1585	1603	1261	840	1251	981
FBGN0031800	16	52	26	28	7	22
FBGN0042627	215	231	174	125	126	71
FBGN0010287	1151	1710	996	646	721	1020
FBGN0032139	0	13	21	37	33	9
FBGN0032258	4040	3642	3069	2526	3125	3164
FBGN0031312	1981	1951	1474	1614	1837	2159
FBGN0031263	3150	2940	2889	2202	2306	2582
FBGN0031908	2300	2177	2068	327	220	209
FBGN0031675	181	194	90	239	315	303
FBGN0032287	51	70	76	27	52	22
FBGN0032049	78	24	48	57	8	2
FBGN0085396	40	46	66	65	11	18
FBGN0053848	2	4	0	0	0	0
FBGN0053839	2	4	0	0	0	0
FBGN0015664	9199	9913	7890	8984	9512	10699
FBGN0015399	14524	14139	11325	6998	8086	8714
FBGN0031896	4464	4487	3331	2732	3357	3218
FBGN0259956	18	3	2	9	2	3
FBGN0032208	35501	35014	27429	37306	42366	40675
FBGN0031835	121	160	102	90	62	57
FBGN0032702	1887	1679	1585	2184	2281	2446
FBGN0032298	2635	3281	2477	1903	2324	2642
FBGN0259230	27	10	10	7	0	7
FBGN0032143	40	70	30	24	12	0
FBGN0015623	5962	6641	4913	7655	8160	9064
FBGN0031357	1438	1321	1063	981	983	1084
FBGN0267378	8647	8630	7240	5825	6082	5586
FBGN0031677	16	40	26	10	39	23
FBGN0032088	80	19	27	14	10	1
FBGN0032256	1509	1415	1293	1468	1204	1239
FBGN0032585	67	14	61	18	20	16
FBGN0045487	63	26	23	54	12	9
FBGN0261608	34451	36790	27367	33806	43653	42416
FBGN0031805	116	55	60	38	58	28
FBGN0053885	0	0	0	0	0	0
FBGN0041246	60	31	42	23	22	9
FBGN0032637	33	26	57	36	39	36
FBGN0031365	43	15	16	13	2	21
FBGN0004892	4580	3579	3105	3656	4910	4942
FBGN0031883	9096	10569	8103	11913	12030	13384
FBGN0040959	7	15	21	16	16	19
FBGN0053879	0	15	0	0	0	0
FBGN0032001	309	389	275	254	263	258
FBGN0028949	36	1	30	12	13	10
FBGN0032656	6704	6750	4722	7147	7751	7412
FBGN0051717	746	670	625	324	448	457
FBGN0263982	3	15	16	4	2	3
FBGN0000406	114	105	97	31	34	22
FBGN0024245	4361	4935	3372	3704	4527	4387
FBGN0011676	190	87	150	72	70	67
FBGN0032446	693	614	527	413	463	554
FBGN0260470	68	45	0	10	2	2
FBGN0032490	42	20	23	11	6	10
FBGN0053808	381	261	259	8	9	6
FBGN0031623	137	50	139	34	57	57
FBGN0004584	29079	30525	23373	23335	26906	25622
FBGN0260758	155	155	182	154	169	140
FBGN0031918	102	195	73	94	95	167
FBGN0051807	48	2	17	5	1	19
FBGN0032516	1255	1275	1267	798	958	886
FBGN0040718	1933	2664	1865	759	939	1428
FBGN0263654	6	0	16	4	6	0
FBGN0031302	14	41	30	17	18	6
FBGN0083968	323	468	406	116	357	233
FBGN0053127	93	68	56	149	119	95
FBGN0031946	27	18	34	9	15	1
FBGN0261582	22	6	6	2	0	22
FBGN0085423	6816	6498	4894	8624	10285	9731
FBGN0011648	8313	9026	6521	6284	7120	7489
FBGN0031773	1214	1042	917	784	983	803
FBGN0086691	165	92	69	46	54	39
FBGN0032036	2384	2238	1664	1686	1863	1732
FBGN0032282	16	15	26	16	14	23
FBGN0259482	1317	1064	1171	731	976	842
FBGN0266492	197	173	130	33	13	22
FBGN0264953	6190	5414	4683	9196	9194	9437
FBGN0000227	29	16	35	7	14	15
FBGN0032732	875	963	956	548	549	558
FBGN0000384	5806	5617	4512	4550	5255	4706
FBGN0031895	1616	1583	1228	1544	1382	1622
FBGN0028644	34	47	22	40	9	7
FBGN0051976	17	17	33	18	19	5
FBGN0053905	37	20	33	19	16	7
FBGN0032797	82	117	113	93	50	63
FBGN0053869	6	23	10	0	0	0
FBGN0031488	6237	5979	4341	6327	6677	6367
FBGN0032023	59	52	17	23	25	33
FBGN0028467	3597	3679	3177	2602	3042	3305
FBGN0031490	87	74	71	97	44	36
FBGN0032447	249	214	139	193	319	274
FBGN0052971	46	19	29	9	12	30
FBGN0032247	795	927	581	551	737	701
FBGN0054051	27	20	43	15	16	4
FBGN0053819	1771	2447	1661	995	1590	1088
FBGN0031804	44	36	2	24	4	0
FBGN0283478	16654	17276	13533	15676	16672	17807
FBGN0028952	1378	1322	981	1233	1266	981
FBGN0041248	134	27	51	50	49	10
FBGN0031359	1256	1169	782	1347	1447	1746
FBGN0001977	6467	6526	5198	3551	4406	4749
FBGN0031462	45	78	62	19	42	5
FBGN0265579	11	0	0	10	2	0
FBGN0031254	233	165	186	103	61	128
FBGN0027453	1591	1292	1189	973	951	1028
FBGN0031538	65	62	37	39	59	47
FBGN0264364	11	14	4	7	3	19
FBGN0031238	2505	2860	2017	2200	2213	2043
FBGN0005616	2422	2513	2002	2343	2637	2614
FBGN0031980	35980	44728	31629	56219	67470	72990
FBGN0045064	229	278	191	251	143	125
FBGN0032448	17	44	10	3	13	0
FBGN0031725	60	39	45	13	13	10
FBGN0032691	2681	3070	2258	2473	2656	2597
FBGN0031690	94	48	56	94	38	102
FBGN0051618	354	231	238	4	27	13
FBGN0028895	778	774	525	485	595	596
FBGN0041195	119	111	82	89	42	37
FBGN0261802	34444	35613	26058	45283	50768	49837
FBGN0032079	67	56	51	84	36	26
FBGN0032297	182	187	91	177	162	150
FBGN0032650	36	42	16	6	4	0
FBGN0020270	8436	8479	6880	2776	3043	3281
FBGN0031540	2300	2267	1885	2308	2284	2304
FBGN0031554	48	44	24	31	37	29
FBGN0025681	5876	5575	4762	5830	5928	6546
FBGN0032685	2291	2829	1977	6063	5332	7174
FBGN0015338	3261	3263	2863	1949	1927	2102
FBGN0032492	19	0	22	6	0	4
FBGN0031711	6863	6963	5749	4253	4900	4705
FBGN0027611	7307	7503	5929	10289	11907	11177
FBGN0264442	13800	13801	11064	24010	22761	22845
FBGN0031741	538	720	380	376	488	450
FBGN0063368	4	26	10	18	2	13
FBGN0262683	14	18	14	8	15	3
FBGN0032554	56	17	55	66	13	9
FBGN0262357	8	0	23	3	7	0
FBGN0028538	6240	6813	5033	5700	6406	6155
FBGN0031484	3830	4229	2868	2566	2941	3188
FBGN0032891	214	112	251	578	608	627
FBGN0262353	134	297	189	121	117	132
FBGN0250903	1027	914	790	786	861	781
FBGN0264342	82	97	60	84	43	12
FBGN0051910	0	48	23	20	9	2
FBGN0019809	84	130	67	90	39	13
FBGN0031267	1364	1617	1394	919	1145	1096
FBGN0024689	2902	2780	2468	2243	2579	2709
FBGN0031252	1816	1639	1528	1630	1710	1688
FBGN0288834	6234	5899	4896	4837	4937	5383
FBGN0052832	55	19	21	24	0	16
FBGN0032481	6853	6849	5376	6884	7236	7427
FBGN0085203	1192	1344	926	494	729	553
FBGN0032156	226	191	204	133	199	179
FBGN0259958	4	6	12	0	8	0
FBGN0031319	3417	3395	2728	4816	5132	5090
FBGN0040233	5759	6664	5186	8491	9239	9653
FBGN0032371	25	22	16	15	0	24
FBGN0261089	71	55	33	36	9	22
FBGN0262029	31273	31339	24889	34025	36444	40165
FBGN0032343	134	118	76	107	63	112
FBGN0263320	0	8	2	3	2	3
FBGN0002524	3502	3492	2771	3279	3773	3992
FBGN0031735	287	535	281	573	939	641
FBGN0022023	26884	26497	21530	23756	25647	28197
FBGN0032373	108	83	56	41	34	46
FBGN0045038	11	11	1	10	21	11
FBGN0032816	852	707	681	454	558	671
FBGN0028875	88	87	77	98	25	27
FBGN0054007	5	4	12	7	3	4
FBGN0011570	10252	9998	8547	8384	9055	9009
FBGN0032791	203	182	131	66	166	57
FBGN0028694	11438	11998	9427	8655	9228	9942
FBGN0031816	558	508	484	827	1013	1278
FBGN0031378	285	307	355	254	311	451
FBGN0032157	5145	5383	4085	4794	5216	5044
FBGN0025366	12746	13723	10912	15909	18476	19270
FBGN0028507	1759	1856	1577	1860	1865	1710
FBGN0032004	50	28	15	39	25	14
FBGN0042092	2022	1790	1363	970	946	974
FBGN0023096	354	176	331	213	117	131
FBGN0085450	10463	10519	8206	12787	14709	13652
FBGN0020545	1433	1786	1538	1248	1134	1307
FBGN0032945	184	112	131	97	74	66
FBGN0261064	2004	2097	1728	1291	1612	1475
FBGN0032439	6	50	15	15	32	1
FBGN0031872	31066	30978	23418	23897	27356	27457
FBGN0031644	28	0	26	34	22	0
FBGN0031446	69	63	11	30	24	13
FBGN0053125	113	74	74	62	27	28
FBGN0051776	55	86	49	41	37	22
FBGN0032249	192	225	128	195	321	233
FBGN0032943	1490	2022	1205	1660	1825	1907
FBGN0032066	49	40	32	37	11	28
FBGN0053641	4	10	10	4	15	14
FBGN0085427	14841	15019	11390	21100	22837	21931
FBGN0041150	98	111	102	71	44	76
FBGN0085410	116	114	78	92	29	23
FBGN0031682	1470	1235	1047	1062	917	1248
FBGN0031999	138	23	68	35	37	42
FBGN0261529	81	90	131	151	62	190
FBGN0032020	1686	2041	1640	1221	1607	1391
FBGN0051777	104	224	109	48	51	24
FBGN0032341	5198	5577	4435	4914	5430	5857
FBGN0032003	27	57	23	14	50	10
FBGN0262721	22	0	12	5	2	11
FBGN0032479	17857	17487	13596	18236	19757	20761
FBGN0032899	275	283	179	117	105	162
FBGN0031601	1099	1132	960	940	1091	1006
FBGN0031463	59	98	89	110	97	49
FBGN0031968	316	394	311	288	384	293
FBGN0032660	32	21	24	14	2	18
FBGN0028893	5	28	38	48	8	18
FBGN0032138	22926	23123	18585	20546	22176	24276
FBGN0032986	3944	4298	2775	2295	2790	2719
FBGN0053849	46	12	26	29	12	10
FBGN0031858	24	26	32	19	26	22
FBGN0051773	128	53	72	90	14	27
FBGN0028518	66	86	30	66	35	19
FBGN0031465	282	381	199	314	371	420
FBGN0003978	2669	3000	2138	2162	2191	2390
FBGN0031639	1753	1458	1291	818	1046	974
FBGN0031854	60	49	48	56	22	14
FBGN0051606	15	24	5	0	5	18
FBGN0261999	144	142	90	114	98	132
FBGN0051661	39	8	23	4	11	4
FBGN0085212	593	616	419	334	432	383
FBGN0051708	71	82	51	56	12	10
FBGN0264546	0	17	0	4	4	0
FBGN0051823	55	25	14	10	10	11
FBGN0032151	112	109	63	90	45	47
FBGN0259213	194	182	129	91	32	91
FBGN0263321	43	46	8	6	14	14
FBGN0083945	145	94	51	51	37	14
FBGN0031590	8217	8494	6591	6720	7962	8212
FBGN0085193	67	57	46	51	70	55
FBGN0032849	1401	1792	1089	742	863	855
FBGN0040106	21	31	18	43	73	30
FBGN0031523	28	24	63	71	26	5
FBGN0020416	222	232	202	48	14	8
FBGN0028541	4966	5124	4174	3627	4109	3447
FBGN0021796	15192	15229	11553	14071	16598	15779
FBGN0028527	3954	4013	3097	2524	2572	2819
FBGN0010497	923	846	869	1072	986	1107
FBGN0266369	3665	3521	2689	3735	4430	4510
FBGN0040107	32	23	13	25	0	30
FBGN0028841	11	3	16	31	5	6
FBGN0032052	2517	3266	2383	1732	2003	1770
FBGN0032050	22419	22798	17453	15694	18105	18558
FBGN0032668	34	17	13	30	30	15
FBGN0014906	2136	2578	1877	2410	2428	2531
FBGN0031619	364	382	352	168	153	139
FBGN0031855	42	55	47	43	35	20
FBGN0028946	30	33	2	21	5	15
FBGN0261535	3276	4110	2996	2195	2508	2649
FBGN0053850	0	0	0	0	0	0
FBGN0031749	28	20	21	25	6	4
FBGN0032266	19	13	6	66	5	21
FBGN0028569	2	17	5	0	5	11
FBGN0040984	20	0	6	12	8	4
FBGN0032798	151	122	117	51	91	45
FBGN0031233	3189	2985	2361	2727	2633	2888
FBGN0085374	46	41	42	50	9	0
FBGN0000392	922	788	630	694	928	786
FBGN0032664	36	28	25	12	28	14
FBGN0263278	871	750	663	778	1006	889
FBGN0259735	25595	24565	18675	27440	30920	31441
FBGN0028886	195	279	161	179	166	160
FBGN0053835	27	30	26	0	0	0
FBGN0053870	6	3	6	3	0	9
FBGN0028920	229	149	166	119	82	100
FBGN0000239	8262	8000	6476	7151	8394	8091
FBGN0085409	6952	6900	5918	6580	8023	8405
FBGN0053813	11392	15023	10083	6863	9934	7571
FBGN0032031	891	868	772	706	865	825
FBGN0023407	7850	8223	6264	7875	8716	8472
FBGN0053807	1776	2467	1682	1137	1811	1326
FBGN0260817	3298	3024	2416	3381	3860	3398
FBGN0032358	810	1215	632	655	942	806
FBGN0032690	6680	7205	5315	5575	6697	6126
FBGN0031534	4835	5152	4313	3309	3713	4268
FBGN0031649	150	107	67	99	61	29
FBGN0045495	152	84	107	80	59	82
FBGN0032773	773	900	869	333	254	268
FBGN0052987	25	34	39	17	32	1
FBGN0031717	4461	4793	4298	3475	4809	4372
FBGN0053900	2	0	3	1	4	0
FBGN0053844	0	0	0	0	0	0
FBGN0032506	78	73	46	105	47	55
FBGN0014000	67	59	42	24	14	24
FBGN0026141	4	4	10	6	0	0
FBGN0000256	8691	9457	7340	9196	9674	10286
FBGN0284230	631	630	585	447	544	584
FBGN0004868	25684	26706	21187	19353	21927	23209
FBGN0028932	1309	1228	1125	1781	1925	2019
FBGN0032431	40	40	32	23	54	48
FBGN0032801	226	364	106	149	176	193
FBGN0032213	10137	11096	8014	9025	10779	10740
FBGN0264545	14	10	9	8	0	0
FBGN0261787	4287	4681	3384	3843	3950	4091
FBGN0085194	106	116	51	23	22	41
FBGN0051809	298	71	167	164	117	261
FBGN0032100	57	42	68	114	124	80
FBGN0053862	3	45	19	27	0	0
FBGN0023090	314	250	211	258	177	141
FBGN0261925	7	28	1	18	8	1
FBGN0053892	5	21	5	0	0	0
FBGN0032464	72	52	45	28	29	45
FBGN0051814	105	154	75	41	55	45
FBGN0051633	227	330	308	283	214	296
FBGN0032769	70	16	10	3	17	2
FBGN0000097	9448	11098	7215	10426	11457	11905
FBGN0032375	7	29	8	8	6	2
FBGN0031468	277	246	191	217	362	309
FBGN0031617	437	421	274	348	116	104
FBGN0032252	129	97	70	93	62	82
FBGN0051855	1080	1526	878	607	750	861
FBGN0032350	10724	11616	9253	6987	8806	8150
FBGN0032021	47	31	26	26	2	50
FBGN0003866	21441	20324	15847	20579	23387	22876
FBGN0032593	114	144	105	69	54	73
FBGN0001128	1230	1183	953	1105	877	925
FBGN0032074	21	53	54	30	26	15
FBGN0004106	8150	9442	7294	5490	6710	6110
FBGN0031598	2831	2954	2016	1896	2159	2310
FBGN0028848	27	44	41	34	12	2
FBGN0264341	18	6	10	15	0	10
FBGN0028884	48	11	15	16	9	19
FBGN0051874	17	11	15	2	23	9
FBGN0031611	975	1300	973	966	891	1081
FBGN0032135	795	948	596	500	640	626
FBGN0032454	19169	21163	14844	18238	21151	18999
FBGN0032888	27	12	7	17	24	26
FBGN0032634	2413	2378	1919	1286	1502	1547
FBGN0040717	685	938	420	394	74	209
FBGN0028944	31	4	4	8	4	1
FBGN0261396	15630	15907	12651	11166	11900	11841
FBGN0032639	128	156	70	27	41	46
FBGN0031343	82	41	45	18	37	51
FBGN0032956	19292	17580	15731	5669	6744	5761
FBGN0264361	0	0	2	0	0	3
FBGN0053126	122	139	101	51	27	30
FBGN0267347	1201	1438	1047	1198	1666	1301
FBGN0000183	7616	7859	5750	7063	7588	7126
FBGN0028892	44	40	52	7	4	28
FBGN0032775	4644	4496	3540	5361	4885	5011
FBGN0032451	1680	1478	1240	948	964	1028
FBGN0032161	524	587	365	397	347	305
FBGN0053801	496	635	448	1434	1873	1914
FBGN0031335	45	31	17	9	0	14
FBGN0031575	2366	2386	1891	2358	2385	2354
FBGN0265298	6681	7377	6228	4639	4612	5311
FBGN0051835	45	69	18	26	27	39
FBGN0002855	9	34	8	22	3	7
FBGN0051922	386	351	208	274	316	298
FBGN0032900	89	24	30	38	34	26
FBGN0031645	1387	1277	1014	628	668	722
FBGN0001970	2090	2038	1384	1373	1973	1766
FBGN0000250	11963	11640	8479	8340	9811	9555
FBGN0051698	93	73	33	15	22	0
FBGN0014019	42	75	68	29	56	17
FBGN0053826	0	3	2	0	0	0
FBGN0032533	20	10	14	2	3	2
FBGN0284247	78136	79297	62954	111134	121970	120226
FBGN0083972	21	38	22	4	6	10
FBGN0032005	4950	5755	3807	3800	4302	4783
FBGN0032119	83	29	15	36	30	37
FBGN0026391	55	9	31	18	16	8
FBGN0283658	4905	5750	4528	4112	5307	4470
FBGN0032771	33	9	12	12	17	22
FBGN0032800	86	135	50	81	53	26
FBGN0032449	177	102	139	190	139	144
FBGN0032971	11	13	4	30	48	16
FBGN0286929	0	5	2	2	1	8
FBGN0000018	961	1345	814	894	961	784
FBGN0003255	457	508	409	363	405	379
FBGN0013323	13	23	32	7	17	0
FBGN0051780	116	113	80	5	4	42
FBGN0031309	1189	1512	901	1347	1382	1470
FBGN0011244	47	10	67	36	18	31
FBGN0032462	158	66	78	35	46	10
FBGN0261831	46	57	48	97	110	72
FBGN0031231	1690	1824	1466	1220	1192	1195
FBGN0031296	38	0	27	22	25	20
FBGN0032434	54	11	31	38	14	12
FBGN0028570	0	29	10	9	8	0
FBGN0026396	114	63	56	40	18	11
FBGN0028370	65	81	59	60	21	35
FBGN0032677	45	35	100	57	24	23
FBGN0051638	3237	4241	3250	4537	4859	5107
FBGN0031258	262	68	148	131	82	51
FBGN0031472	51	61	51	14	0	36
FBGN0265269	11	35	14	21	0	17
FBGN0031738	3317	3367	2514	3550	4230	3880
FBGN0024371	4190	3806	2996	2633	2855	2728
FBGN0026431	2339	2555	2074	1567	1893	1839
FBGN0031771	4814	5162	4409	4472	4677	5474
FBGN0040972	17	15	6	3	7	0
FBGN0005677	3400	3490	2656	2314	3085	4769
FBGN0028939	655	651	492	81	216	120
FBGN0024947	1704	1708	1518	1609	1642	1999
FBGN0053532	6	0	4	4	13	25
FBGN0264295	0	0	3	9	3	12
FBGN0032755	4	12	13	9	2	4
FBGN0043456	23275	23334	18488	19694	21677	21869
FBGN0031981	10931	11043	8583	13189	13794	14174
FBGN0032860	23	14	14	2	17	11
FBGN0040705	25	24	4	8	4	17
FBGN0264087	141	124	214	89	67	57
FBGN0086447	613	804	628	165	201	278
FBGN0020309	52869	48245	38853	64134	68078	72832
FBGN0261871	32	88	36	35	22	14
FBGN0032253	351	394	180	182	99	96
FBGN0040963	0	30	13	2	17	0
FBGN0031275	119	218	133	90	81	42
FBGN0287204	1803	2052	1513	938	1160	1172
FBGN0031375	39	52	82	71	44	54
FBGN0032059	1217	1687	1207	1259	1518	1419
FBGN0032635	4292	4890	3502	4360	4706	4647
FBGN0031257	87	101	94	49	23	40
FBGN0052982	6499	6128	5342	6905	7710	7467
FBGN0067311	20	38	8	18	12	14
FBGN0032262	51	93	93	31	30	75
FBGN0026787	1090	1236	982	770	954	909
FBGN0260933	542	711	460	540	659	441
FBGN0041183	1393	1102	1016	143	128	40
FBGN0003502	13659	14450	11573	12065	12803	12424
FBGN0027582	10162	10635	8001	8304	9627	9030
FBGN0025674	7842	8887	5992	4783	5233	5581
FBGN0032694	2082	2338	1896	1277	1756	1690
FBGN0031935	78	47	78	87	21	54
FBGN0261571	165	123	69	92	105	59
FBGN0014076	41	21	11	19	10	5
FBGN0028913	3	15	11	7	0	12
FBGN0031277	0	31	7	0	9	18
FBGN0032295	7683	7558	5940	8469	8267	9737
FBGN0085200	686	645	636	1015	1023	1043
FBGN0014417	364	326	288	261	383	320
FBGN0265256	2	21	10	6	18	2
FBGN0287768	7487	7094	5641	6941	6394	7167
FBGN0053898	2	0	3	1	3	0
FBGN0031866	240	148	182	96	166	42
FBGN0053861	157	158	75	47	82	103
FBGN0031322	2033	2147	1665	2132	2421	2353
FBGN0031412	31	0	12	0	3	6
FBGN0011829	287	245	208	133	193	86
FBGN0014179	60	30	48	28	34	19
FBGN0032397	4967	5296	3680	4497	4896	5033
FBGN0261805	20	3	8	0	5	0
FBGN0032812	2077	2385	1899	2038	2380	2423
FBGN0261963	1536	1367	1056	890	742	1216
FBGN0040964	921	1012	627	606	852	891
FBGN0031250	2715	3050	2387	1920	2287	2097
FBGN0250843	20006	18033	15569	9772	10633	11416
FBGN0021906	5547	5172	4587	3496	3914	4859
FBGN0032770	45	24	7	22	5	10
FBGN0032601	611	676	490	566	535	432
FBGN0265670	7	0	0	2	0	2
FBGN0032321	3215	3768	2830	2881	2981	3043
FBGN0053120	89	98	76	62	66	38
FBGN0261881	1048	1171	825	749	913	919
FBGN0264081	9	8	16	3	32	2
FBGN0003016	4430	4813	3583	5220	5767	5911
FBGN0031495	1140	1628	1167	839	1335	1174
FBGN0010602	18150	18509	14553	17215	17571	19772
FBGN0040506	83	137	71	66	29	23
FBGN0002036	362	365	336	331	376	464
FBGN0031420	5439	5242	4307	4465	4990	5074
FBGN0031713	2377	2738	2399	2478	2391	2624
FBGN0002931	1363	1643	1298	1937	2087	2016
FBGN0051948	6	10	17	30	3	0
FBGN0032054	1777	2148	1708	1886	1764	2065
FBGN0031253	830	895	653	513	647	545
FBGN0031545	29	37	28	26	33	41
FBGN0032876	4192	4132	3243	3464	4425	4134
FBGN0263037	488	381	347	358	281	135
FBGN0031937	112	96	127	114	53	26
FBGN0085188	5564	5893	4189	4019	4418	4455
FBGN0032805	282	181	173	92	118	218
FBGN0013433	53	32	34	74	11	35
FBGN0064115	883	993	472	384	530	567
FBGN0032160	3601	4143	3035	3437	4584	4005
FBGN0032648	111	57	91	14	39	16
FBGN0085206	22	0	12	7	27	0
FBGN0053906	17	21	17	1	3	0
FBGN0031306	61	28	22	38	22	28
FBGN0032473	75	161	42	49	52	43
FBGN0023489	77	30	42	31	20	10
FBGN0051774	237	217	96	79	107	70
FBGN0085208	992	1397	903	1092	1101	1093
FBGN0032195	1294	1599	1101	988	989	1039
FBGN0026324	2266	1959	1801	1367	1626	1456
FBGN0011703	22276	24430	19255	20051	20237	20943
